StartingAddress	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
8608	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 1	1/10°C				read	read
8609	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 1	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8610	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 2	1/10°C				read	read
8611	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 2	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8612	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 3	1/10°C				read	read
8613	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 3	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8614	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 4	1/10°C				read	read
8615	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 4	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8616	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 5	1/10°C				read	read
8617	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 5	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8618	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 6	1/10°C				read	read
8619	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 6	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8620	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 7	1/10°C				read	read
8621	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 7	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
8622	1	04	s16	BOI.i_ist_temperatur.value	487	Temperature actual (value)	DHWC 8	1/10°C				read	read
8623	1	04	s16	BOI.i_ist_temperatur.status	487	Temperature actual (status)	DHWC 8	system_sensor_status_t	0-Faulty, 1-Missing, 2-OK			read	read
