s	NumberOfRegisters	Functions	Type	Parameter	ID	Name	Index	Unit/ValueTable	Values	Min	Max	UserLevel	ExpertLevel
9517	2	04	s32	MBUS.leistung	2170	Power	HQM 0	1/1000kW				read	read
9519	2	04	s32	MBUS.leistung	2170	Power	HQM 1	1/1000kW				read	read
9521	2	04	s32	MBUS.leistung	2170	Power	HQM 2	1/1000kW				read	read
9523	2	04	s32	MBUS.leistung	2170	Power	HQM 3	1/1000kW				read	read
9525	2	04	s32	MBUS.leistung	2170	Power	HQM 4	1/1000kW				read	read
9527	2	04	s32	MBUS.leistung	2170	Power	HQM 5	1/1000kW				read	read
9529	2	04	s32	MBUS.leistung	2170	Power	HQM 6	1/1000kW				read	read
9531	2	04	s32	MBUS.leistung	2170	Power	HQM 7	1/1000kW				read	read
9533	2	04	s32	MBUS.leistung	2170	Power	HQM 8	1/1000kW				read	read
9535	2	04	s32	MBUS.leistung	2170	Power	HQM 9	1/1000kW				read	read
9537	2	04	s32	MBUS.leistung	2170	Power	HQM 10	1/1000kW				read	read
9539	2	04	s32	MBUS.leistung	2170	Power	HQM 11	1/1000kW				read	read
9541	2	04	s32	MBUS.leistung	2170	Power	HQM 12	1/1000kW				read	read
9543	2	04	s32	MBUS.leistung	2170	Power	HQM 13	1/1000kW				read	read
9545	2	04	s32	MBUS.leistung	2170	Power	HQM 14	1/1000kW				read	read
9547	2	04	s32	MBUS.leistung	2170	Power	HQM 15	1/1000kW				read	read
9549	2	04	s32	MBUS.leistung	2170	Power	HQM 16	1/1000kW				read	read
9551	2	04	s32	MBUS.leistung	2170	Power	HQM 17	1/1000kW				read	read
9553	2	04	s32	MBUS.leistung	2170	Power	HQM 18	1/1000kW				read	read
9555	2	04	s32	MBUS.leistung	2170	Power	HQM 19	1/1000kW				read	read
9557	2	04	s32	MBUS.leistung	2170	Power	HQM 20	1/1000kW				read	read
9559	2	04	s32	MBUS.leistung	2170	Power	HQM 21	1/1000kW				read	read
9561	2	04	s32	MBUS.leistung	2170	Power	HQM 22	1/1000kW				read	read
9563	2	04	s32	MBUS.leistung	2170	Power	HQM 23	1/1000kW				read	read
9565	2	04	s32	MBUS.leistung	2170	Power	HQM 24	1/1000kW				read	read
9567	2	04	s32	MBUS.leistung	2170	Power	HQM 25	1/1000kW				read	read
9569	2	04	s32	MBUS.leistung	2170	Power	HQM 26	1/1000kW				read	read
9571	2	04	s32	MBUS.leistung	2170	Power	HQM 27	1/1000kW				read	read
9573	2	04	s32	MBUS.leistung	2170	Power	HQM 28	1/1000kW				read	read
9575	2	04	s32	MBUS.leistung	2170	Power	HQM 29	1/1000kW				read	read
9577	2	04	s32	MBUS.leistung	2170	Power	HQM 30	1/1000kW				read	read
9579	2	04	s32	MBUS.leistung	2170	Power	HQM 31	1/1000kW				read	read
9581	2	04	s32	MBUS.leistung	2170	Power	HQM 32	1/1000kW				read	read
9583	2	04	s32	MBUS.leistung	2170	Power	HQM 33	1/1000kW				read	read
9585	2	04	s32	MBUS.leistung	2170	Power	HQM 34	1/1000kW				read	read
9587	2	04	s32	MBUS.leistung	2170	Power	HQM 35	1/1000kW				read	read
9589	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 0	1/10°C				read	read
9590	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 1	1/10°C				read	read
9591	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 2	1/10°C				read	read
9592	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 3	1/10°C				read	read
9593	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 4	1/10°C				read	read
9594	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 5	1/10°C				read	read
9595	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 6	1/10°C				read	read
9596	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 7	1/10°C				read	read
9597	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 8	1/10°C				read	read
9598	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 9	1/10°C				read	read
9599	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 10	1/10°C				read	read
9600	1	04	s16	MBUS.vorlauftemp	2167	Forward flow	HQM 11	1/10°C				read	read
